20180304234000
20180305003000
z(m)	zh_mn(dBZ)	zh_std(dB)	zdr_mn(db)	zdr_std(dB)	kdp_mn(deg/km)	kdp_std(deg/km)	rhv_mn	rhv_std
0.815	-6.7	0.81	-4.04	1.96	0.00	0.00	0.552	0.115
0.865	-8.1	1.10	-2.41	2.24	0.00	0.00	0.566	0.087
0.915	-8.0	1.65	-2.10	3.61	0.00	0.00	0.547	0.194
0.965	-5.8	2.24	-2.08	2.96	0.04	0.10	0.681	0.087
1.015	-2.3	2.95	-0.56	1.58	0.00	0.00	0.658	0.105
1.065	0.4	1.48	-1.56	1.38	0.00	0.00	0.687	0.168
1.115	4.4	1.91	-0.91	1.44	0.00	0.00	0.828	0.206
1.165	7.7	1.15	-0.17	1.21	0.00	0.00	0.804	0.114
1.215	12.9	2.31	0.14	2.18	0.00	0.00	0.674	0.135
1.265	14.7	3.01	0.82	2.48	0.00	0.00	0.721	0.131
1.315	15.0	1.97	0.84	1.15	0.00	0.00	0.733	0.151
1.365	14.1	2.15	0.63	0.62	0.04	0.09	0.876	0.215
1.415	14.7	3.05	0.48	0.20	0.08	0.10	0.960	0.117
1.465	15.2	3.52	0.51	0.23	0.15	0.13	0.967	0.146
1.515	15.7	3.71	0.38	0.15	0.16	0.17	0.976	0.132
1.565	16.2	3.71	0.45	0.19	0.16	0.09	0.980	0.145
1.615	16.9	3.92	0.39	0.17	0.18	0.11	0.983	0.128
1.665	16.8	3.87	0.31	0.16	0.07	0.05	0.983	0.102
1.715	16.8	3.40	0.30	0.23	0.07	0.05	0.983	0.109
1.765	17.3	3.51	0.24	0.15	0.07	0.07	0.984	0.072
1.815	17.3	3.40	0.23	0.12	0.03	0.06	0.983	0.070
1.865	17.9	2.99	0.29	0.19	0.03	0.05	0.984	0.083
1.915	17.8	2.58	0.34	0.18	0.02	0.04	0.983	0.150
1.965	18.0	2.47	0.41	0.18	0.02	0.04	0.982	0.174
2.015	18.6	2.05	0.38	0.22	0.01	0.02	0.982	0.132
2.065	18.7	1.91	0.35	0.15	0.00	0.00	0.982	0.150
2.115	19.4	1.74	0.40	0.20	0.00	0.01	0.981	0.132
2.165	19.3	1.78	0.48	0.21	0.01	0.03	0.981	0.116
2.215	19.7	1.91	0.46	0.24	0.02	0.04	0.981	0.112
2.265	19.8	1.61	0.53	0.28	0.03	0.07	0.980	0.122
2.315	19.9	1.66	0.48	0.21	0.07	0.12	0.981	0.105
2.365	19.9	1.56	0.52	0.22	0.05	0.11	0.980	0.108
2.415	19.9	1.69	0.56	0.30	0.06	0.10	0.979	0.099
2.465	19.9	1.55	0.54	0.22	0.09	0.09	0.979	0.130
2.515	19.7	1.27	0.60	0.38	0.12	0.12	0.976	0.165
2.565	19.5	1.39	0.64	0.33	0.19	0.14	0.975	0.123
2.615	19.1	1.08	0.59	0.26	0.22	0.12	0.973	0.140
2.665	19.5	1.11	0.84	0.46	0.27	0.15	0.975	0.124
2.715	19.9	1.10	0.90	0.37	0.34	0.19	0.977	0.140
2.765	19.7	1.29	0.86	0.37	0.34	0.19	0.975	0.090
2.815	19.4	0.97	0.90	0.43	0.39	0.15	0.972	0.147
2.865	19.4	1.21	0.79	0.31	0.40	0.11	0.973	0.126
2.915	19.2	0.91	0.80	0.29	0.40	0.12	0.973	0.177
2.965	18.7	1.32	0.93	0.37	0.37	0.17	0.970	0.131
3.015	19.1	1.02	0.96	0.38	0.36	0.22	0.972	0.112
3.065	18.6	0.93	0.94	0.29	0.37	0.19	0.969	0.084
3.115	18.3	1.45	1.15	0.39	0.31	0.18	0.967	0.125
3.165	18.2	1.55	1.03	0.31	0.27	0.15	0.968	0.106
3.215	18.0	1.60	1.11	0.37	0.25	0.14	0.968	0.121
3.265	17.8	1.48	1.28	0.42	0.24	0.12	0.965	0.125
3.315	18.2	1.32	1.24	0.35	0.26	0.12	0.965	0.114
3.365	18.0	1.44	1.14	0.33	0.28	0.11	0.966	0.072
3.415	18.1	1.55	1.27	0.42	0.25	0.12	0.964	0.116
3.465	18.2	1.36	1.29	0.36	0.26	0.12	0.967	0.096
3.515	18.0	1.40	1.24	0.37	0.31	0.12	0.965	0.109
3.565	17.6	1.74	1.21	0.33	0.28	0.12	0.963	0.074
3.615	17.5	1.73	1.33	0.43	0.26	0.10	0.962	0.085
3.665	17.1	2.05	1.37	0.47	0.25	0.15	0.961	0.075
3.715	16.7	2.02	1.32	0.42	0.22	0.12	0.960	0.061
3.765	16.4	2.18	1.33	0.47	0.18	0.11	0.961	0.065
3.815	16.3	2.19	1.41	0.38	0.17	0.07	0.960	0.049
3.865	16.0	2.31	1.50	0.39	0.17	0.10	0.956	0.122
