pres	tc	td	wspd	wdir	alt
925	-3.00	-3.70	4.11	74	774
924	-2.55	-3.70	8.63	58	779
924	-2.60	-3.80	8.72	58	784
923	-2.66	-3.80	8.79	58	789
923	-2.75	-3.90	8.87	58	789
923	-2.80	-4.00	8.94	58	794
922	-2.86	-4.00	9.06	58	801
921	-2.93	-4.00	9.18	58	807
920	-2.95	-4.10	9.27	58	812
920	-3.02	-4.10	9.36	58	818
919	-3.04	-4.10	9.45	58	822
919	-3.09	-4.20	9.52	58	827
918	-3.09	-4.20	9.56	59	832
918	-3.09	-4.20	9.57	59	837
917	-3.04	-4.20	9.59	58	841
917	-3.09	-4.30	9.59	58	842
917	-3.06	-4.20	9.59	58	846
916	-3.13	-4.30	9.60	58	851
915	-3.22	-4.40	9.63	58	856
915	-3.22	-4.40	9.66	57	861
914	-3.20	-4.40	9.70	57	864
914	-3.22	-4.40	9.75	57	867
914	-3.24	-4.40	9.83	57	872
913	-3.26	-4.40	9.93	56	876
913	-3.29	-4.50	10.01	56	880
912	-3.31	-4.50	10.10	56	882
912	-3.35	-4.60	10.18	56	886
912	-3.35	-4.60	10.28	56	890
911	-3.40	-4.60	10.38	56	894
911	-3.42	-4.60	10.47	56	898
910	-3.44	-4.60	10.55	56	902
910	-3.49	-4.70	10.64	56	906
909	-3.51	-4.70	10.73	56	911
909	-3.60	-4.70	10.84	56	915
908	-3.64	-4.70	10.94	55	919
908	-3.71	-4.80	11.07	55	922
907	-3.80	-4.80	11.22	55	926
907	-3.86	-4.80	11.35	55	931
906	-3.91	-4.80	11.46	54	938
905	-3.95	-4.80	11.57	54	944
905	-4.00	-4.80	11.68	54	949
904	-4.04	-4.80	11.82	53	953
904	-4.06	-4.80	11.96	52	957
903	-4.13	-4.90	12.08	52	962
903	-4.15	-4.90	12.17	51	966
902	-4.18	-4.90	12.26	51	969
902	-4.13	-5.10	12.33	50	974
901	-4.11	-5.10	12.40	49	980
901	-4.11	-5.20	12.49	48	985
900	-4.18	-5.20	12.60	47	991
899	-4.22	-5.30	12.72	46	997
899	-4.29	-5.30	12.83	46	1003
898	-4.29	-5.30	12.91	45	1008
897	-4.33	-5.40	13.02	44	1016
896	-4.36	-5.50	13.17	44	1022
896	-4.38	-5.50	13.32	43	1028
895	-4.40	-5.60	13.50	42	1034
895	-4.42	-5.60	13.67	42	1038
894	-4.49	-5.60	13.85	42	1045
893	-4.51	-5.70	14.01	41	1050
893	-4.56	-5.70	14.16	41	1056
892	-4.65	-5.80	14.31	41	1062
891	-4.69	-5.80	14.45	41	1067
891	-4.71	-5.80	14.62	41	1073
890	-4.76	-5.80	14.75	41	1076
890	-4.80	-5.80	14.86	40	1081
889	-4.83	-5.80	14.96	40	1085
889	-4.80	-5.80	15.06	40	1091
888	-4.85	-5.90	15.15	40	1097
887	-4.87	-6.00	15.24	39	1102
887	-4.92	-6.00	15.34	39	1105
886	-5.00	-6.00	15.44	39	1112
886	-5.07	-6.10	15.54	38	1118
885	-5.09	-6.10	15.66	38	1125
884	-5.18	-6.20	15.76	38	1132
883	-5.25	-6.20	15.86	38	1138
883	-5.34	-6.30	15.94	38	1145
882	-5.43	-6.30	16.03	37	1153
881	-5.48	-6.30	16.16	37	1160
880	-5.55	-6.40	16.28	37	1166
880	-5.57	-6.40	16.36	37	1172
879	-5.60	-6.40	16.44	38	1179
878	-5.69	-6.50	16.54	38	1185
877	-5.76	-6.50	16.64	38	1193
876	-5.78	-6.50	16.75	38	1200
876	-5.85	-6.60	16.84	38	1206
875	-5.87	-6.60	16.92	38	1213
874	-5.91	-6.60	17.02	38	1220
873	-5.96	-6.70	17.08	38	1227
873	-6.01	-6.70	17.11	38	1232
872	-6.01	-6.70	17.14	38	1239
871	-6.01	-6.70	17.21	38	1246
870	-6.05	-6.80	17.30	38	1253
870	-6.10	-6.80	17.37	38	1261
869	-6.14	-6.80	17.43	38	1267
868	-6.19	-6.90	17.45	38	1273
868	-6.21	-6.90	17.47	38	1279
867	-6.26	-7.00	17.51	38	1285
866	-6.30	-7.00	17.55	38	1292
866	-6.35	-7.10	17.58	38	1298
865	-6.42	-7.20	17.59	39	1306
864	-6.44	-7.20	17.61	39	1313
863	-6.48	-7.20	17.62	39	1319
862	-6.51	-7.20	17.62	39	1325
862	-6.58	-7.30	17.62	39	1331
861	-6.60	-7.30	17.61	39	1337
860	-6.64	-7.40	17.62	39	1344
860	-6.67	-7.40	17.64	39	1349
859	-6.71	-7.40	17.63	39	1355
858	-6.74	-7.40	17.60	39	1362
858	-6.78	-7.50	17.60	39	1366
858	-6.83	-7.50	17.60	39	1371
857	-6.83	-7.50	17.58	39	1376
856	-6.85	-7.50	17.57	39	1382
856	-6.90	-7.60	17.56	39	1389
855	-6.92	-7.60	17.54	39	1395
854	-6.96	-7.60	17.50	39	1400
854	-7.01	-7.60	17.46	39	1404
853	-7.06	-7.70	17.41	39	1410
852	-7.06	-7.60	17.37	39	1416
852	-7.08	-7.70	17.36	39	1421
851	-7.10	-7.70	17.34	39	1426
851	-7.15	-7.70	17.31	39	1431
850	-7.17	-7.80	17.29	39	1437
850	-7.22	-7.80	17.24	39	1441
849	-7.22	-7.80	17.17	39	1447
849	-7.24	-7.80	17.08	39	1452
848	-7.26	-7.90	17.01	39	1458
847	-7.31	-7.90	16.94	39	1464
846	-7.35	-8.00	16.87	39	1471
846	-7.42	-8.00	16.80	39	1477
845	-7.42	-8.00	16.73	39	1482
845	-7.44	-8.10	16.66	39	1488
844	-7.47	-8.10	16.60	40	1492
844	-7.51	-8.10	16.53	40	1497
843	-7.56	-8.20	16.50	40	1503
843	-7.58	-8.20	16.46	40	1508
842	-7.61	-8.30	16.40	40	1514
841	-7.65	-8.30	16.32	40	1520
841	-7.70	-8.40	16.26	40	1526
840	-7.72	-8.40	16.20	40	1531
840	-7.77	-8.40	16.12	40	1536
839	-7.81	-8.40	16.04	40	1542
838	-7.86	-8.50	15.97	40	1547
838	-7.88	-8.50	15.92	40	1552
837	-7.93	-8.60	15.86	40	1558
837	-7.97	-8.60	15.79	40	1563
836	-7.99	-8.60	15.75	40	1569
835	-8.04	-8.70	15.74	40	1574
835	-8.04	-8.70	15.73	40	1581
834	-8.09	-8.70	15.72	40	1586
834	-8.13	-8.80	15.71	40	1592
833	-8.18	-8.80	15.71	40	1598
832	-8.22	-8.80	15.73	40	1606
831	-8.25	-8.90	15.77	40	1612
831	-8.29	-8.90	15.78	40	1617
830	-8.34	-8.90	15.77	40	1622
830	-8.36	-8.90	15.76	40	1628
829	-8.41	-9.00	15.78	41	1632
829	-8.41	-8.90	15.80	41	1636
828	-8.45	-9.00	15.83	41	1640
828	-8.48	-9.00	15.86	41	1643
