20180304234000
20180305003000
z(m)	mdv_mn(m/s)	mdv_std(m/s)	lwp_mn(g/m2)	lwp_std(g/m2)
0.562	-0.55	1.04	69	24
0.567	-0.55	1.03	69	24
0.573	-0.55	1.01	69	24
0.578	-0.55	1.01	69	24
0.584	-0.55	1.01	69	24
0.590	-0.56	0.99	69	24
0.595	-0.57	0.97	69	24
0.601	-0.59	0.97	69	24
0.606	-0.61	0.97	69	24
0.612	-0.62	0.95	69	24
0.618	-0.61	0.93	69	24
0.623	-0.60	0.93	69	24
0.629	-0.61	0.93	69	24
0.634	-0.62	0.93	69	24
0.640	-0.63	0.92	69	24
0.645	-0.64	0.91	69	24
0.651	-0.67	0.91	69	24
0.657	-0.70	0.93	69	24
0.662	-0.69	0.95	69	24
0.668	-0.66	0.94	69	24
0.673	-0.66	0.93	69	24
0.679	-0.66	0.92	69	24
0.685	-0.65	0.91	69	24
0.690	-0.66	0.92	69	24
0.696	-0.67	0.91	69	24
0.701	-0.67	0.90	69	24
0.707	-0.67	0.90	69	24
0.713	-0.67	0.88	69	24
0.718	-0.65	0.89	69	24
0.724	-0.64	0.92	69	24
0.729	-0.63	0.94	69	24
0.735	-0.63	0.96	69	24
0.741	-0.64	0.96	69	24
0.746	-0.65	0.94	69	24
0.752	-0.67	0.92	69	24
0.757	-0.70	0.89	69	24
0.763	-0.69	0.89	69	24
0.768	-0.66	0.89	69	24
0.774	-0.64	0.88	69	24
0.780	-0.64	0.88	69	24
0.785	-0.63	0.87	69	24
0.791	-0.62	0.85	69	24
0.796	-0.61	0.84	69	24
0.802	-0.62	0.85	69	24
0.808	-0.63	0.86	69	24
0.813	-0.62	0.87	69	24
0.819	-0.61	0.88	69	24
0.824	-0.61	0.90	69	24
0.830	-0.60	0.89	69	24
0.836	-0.59	0.87	69	24
0.841	-0.59	0.86	69	24
0.847	-0.58	0.86	69	24
0.852	-0.57	0.84	69	24
0.858	-0.58	0.81	69	24
0.864	-0.58	0.80	69	24
0.869	-0.58	0.79	69	24
0.875	-0.58	0.78	69	24
0.880	-0.57	0.76	69	24
0.886	-0.57	0.74	69	24
0.891	-0.56	0.72	69	24
0.897	-0.56	0.70	69	24
0.903	-0.56	0.68	69	24
0.908	-0.56	0.66	69	24
0.914	-0.56	0.66	69	24
0.919	-0.56	0.65	69	24
0.925	-0.55	0.64	69	24
0.931	-0.54	0.62	69	24
0.936	-0.56	0.59	69	24
0.942	-0.56	0.58	69	24
0.947	-0.56	0.57	69	24
0.953	-0.56	0.57	69	24
0.959	-0.55	0.58	69	24
0.964	-0.53	0.57	69	24
0.970	-0.52	0.56	69	24
0.975	-0.51	0.54	69	24
0.981	-0.51	0.52	69	24
0.987	-0.51	0.50	69	24
0.992	-0.51	0.49	69	24
0.998	-0.50	0.47	69	24
1.003	-0.49	0.45	69	24
1.009	-0.48	0.44	69	24
1.014	-0.47	0.43	69	24
1.020	-0.48	0.42	69	24
